endpoint,formulation_id,batch_id,actual,predicted,predicted_std,absolute_error,squared_error
viability_percent,legacy_lit_114,legacy_literature,87.56,61.45483097797756,55.39199862088112,26.105169022022444,681.4798496683603
viability_percent,legacy_lit_119,legacy_literature,40.0,59.07996740560725,59.34295878403591,19.07996740560725,364.04515619903503
viability_percent,legacy_lit_129,legacy_literature,56.0,56.718833697957834,58.40738721985289,0.7188336979578338,0.5167218853197343
viability_percent,legacy_lit_196,legacy_literature,80.0,53.96572804769831,55.305576817499144,26.034271952301687,677.7833160864022
viability_percent,legacy_lit_202,legacy_literature,65.0,72.33188629335879,56.258058835595186,7.331886293358792,53.75655661874253
viability_percent,legacy_lit_205,legacy_literature,75.0,59.851495896829476,59.467583242127496,15.148504103170524,229.47717656377418
viability_percent,legacy_lit_207,legacy_literature,70.0,59.84499071835286,59.46758261896244,10.15500928164714,103.12421351033954
viability_percent,legacy_lit_212,legacy_literature,69.66666666666667,59.876995562022145,59.467517442948534,9.789671104644526,95.83766033711198
viability_percent,legacy_lit_236,legacy_literature,83.4,64.28039136961215,59.215498293983885,19.11960863038786,365.5594341792019
viability_percent,legacy_lit_251,legacy_literature,5.0,50.92427551841562,56.2880343113641,45.92427551841562,2109.0390818913484
viability_percent,legacy_lit_253,legacy_literature,60.0,51.6089237712636,57.928907228050036,8.391076228736402,70.41016027646512
viability_percent,legacy_lit_255,legacy_literature,9.833333333333334,53.223857757945,57.690376995341715,43.39052442461166,1882.7376098428213
viability_percent,legacy_lit_258,legacy_literature,78.0,56.67612485122583,59.41512734523337,21.32387514877417,454.7076513605087
viability_percent,legacy_lit_261,legacy_literature,75.0,59.17923564819179,59.45444050244888,15.820764351808208,250.2965846754454
viability_percent,legacy_lit_275,legacy_literature,30.0,59.40722554453576,59.45064193200652,29.407225544535763,864.7849142271967
viability_percent,legacy_lit_288,legacy_literature,82.0,53.59712345752645,58.34693397658685,28.40287654247355,806.7233958869942
viability_percent,legacy_lit_316,legacy_literature,73.0,53.79035042877867,59.097885483381525,19.209649571221327,369.0106366491237
viability_percent,legacy_lit_317,legacy_literature,45.0,68.29115255361545,55.77971100838624,23.291152553615447,542.4777872757874
viability_percent,legacy_lit_323,legacy_literature,77.66666666666667,68.94204410893795,57.20429963887917,8.724622557728722,76.11903877482887
viability_percent,legacy_lit_343,legacy_literature,60.6,58.32036103100525,58.2327616541231,2.279638968994753,5.196753828959461
viability_percent,legacy_lit_347,legacy_literature,69.5,62.715590812276716,58.13152971149546,6.784409187723284,46.028208026464114
viability_percent,legacy_lit_349,legacy_literature,70.0,61.49269336658644,58.27380437906939,8.507306633413563,72.37426615492241
viability_percent,legacy_lit_351,legacy_literature,73.1,63.441829266167574,58.23674676552525,9.65817073383242,93.28026192385708
viability_percent,legacy_lit_357,legacy_literature,74.9,60.664929371128885,58.28037277233341,14.23507062887112,202.63723580894924
