betaine_M,creatine_M,dextran_pct,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,glucose_M,glycerol_M,hes_pct,hsa_pct,human_serum_pct,hyaluronic_acid_pct,methylcellulose_pct,peg_3350_pct,proline_M,propylene_glycol_M,pvp_pct,raffinose_M,sucrose_M,trehalose_M,viability_percent,source,weight
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125,58.0,literature,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3682267347160386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.333333333333336,literature,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7364534694320772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.666666666666664,literature,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.104680204148115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,literature,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7364534694320772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,77.0,literature,1.0
0.0,0.0,0.0,1.0559324203250993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,literature,1.0
0.0,0.0,0.0,1.0559324203250993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,81.33333333333333,literature,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361545538178473,0.0,0.0,0.0,0.0,56.0,literature,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.021159153633855,0.0,0.0,0.0,0.0,74.0,literature,1.0
0.0,0.0,0.0,1.407909893766799,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,literature,1.0
